traits	host
OK666933|wild_canid|2017.500	wild_canid
OK666911|wild_canid|2017.500	wild_canid
OK666921|wild_canid|2015.500	wild_canid
OK666960|procyonid|2014.500	procyonid
OK666951|procyonid|2013.500	procyonid
OK666945|procyonid|2013.500	procyonid
OK666984|procyonid|2014.500	procyonid
OK666939|mustelid|2014.500	mustelid
OK667000|procyonid|2014.500	procyonid
OK667036|procyonid|2016.500	procyonid
OK667031|procyonid|2016.500	procyonid
OK667035|procyonid|2016.500	procyonid
OK667002|procyonid|2014.500	procyonid
OK666992|procyonid|2014.500	procyonid
OK667010|procyonid|2015.500	procyonid
OK667042|procyonid|2017.500	procyonid
OK667034|procyonid|2016.500	procyonid
OK667033|procyonid|2016.500	procyonid
OK667019|procyonid|2015.500	procyonid
OK667041|procyonid|2017.500	procyonid
OK667044|procyonid|2017.500	procyonid
OK667032|procyonid|2016.500	procyonid
OK667024|procyonid|2016.500	procyonid
OK667018|procyonid|2015.500	procyonid
OK667006|procyonid|2015.500	procyonid
OK667013|procyonid|2015.500	procyonid
OK667028|procyonid|2016.500	procyonid
OK667012|procyonid|2015.500	procyonid
OK666931|wild_canid|2017.500	wild_canid
OK667029|procyonid|2016.500	procyonid
OK667016|procyonid|2015.500	procyonid
OK666877|mustelid|2016.500	mustelid
OK666878|mustelid|2016.500	mustelid
OK666876|mustelid|2016.500	mustelid
OK667040|procyonid|2017.500	procyonid
OK667015|procyonid|2015.500	procyonid
OK666935|wild_canid|2017.500	wild_canid
OK667037|procyonid|2016.500	procyonid
OK666927|wild_canid|2015.500	wild_canid
OK666889|mustelid|2016.500	mustelid
OK667022|procyonid|2015.500	procyonid
OK666879|mustelid|2016.500	mustelid
OK666937|wild_canid|2017.500	wild_canid
OK666907|wild_canid|2017.500	wild_canid
MK487378|ailurid|2016.500	ailurid
OK666930|wild_canid|2017.500	wild_canid
