accession	description	length	host_raw	host_canonical	host_group	host_ambiguous	country_raw	country	collection_date_raw	collection_date	decimal_year	date_precision	strain	isolate	lat_lon	is_vaccine	vaccine_pattern	has_H	H_length	H_source	has_F	has_N	is_complete_genome	exclude_reason
PX610320.1	Morbillivirus canis isolate CDV/577-15, complete genome	15687	Red fox (Vulpes vulpes)	Vulpes vulpes	wild_canid	False	Germany	Germany	2015	2015	2015.5	year		CDV/577-15		False		True	1946	annotation	True	True	True	
PX610319.1	Morbillivirus canis isolate CDV/877-20, complete genome	15689	Eurasian Lynx (Lynx lynx)	Lynx sp.	wild_felid	False	Germany	Germany	2020	2020	2020.5	year		CDV/877-20		False		True	1946	annotation	True	True	True	
PX656924.1	Morbillivirus canis isolate CDV_UY447, partial genome	15583	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Uruguay	Uruguay	21-Aug-2024	2024-08-21	2024.636612021858	day		CDV_UY447	34.90 S 56.19 W	False		True	1824	annotation	True	True	False	
PX656923.1	Morbillivirus canis isolate CDV_UY417, partial genome	15630	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Uruguay	Uruguay	27-Jul-2022	2022-07-27	2022.5671232876712	day		CDV_UY417	34.72 S 55.96 W	False		True	1824	annotation	True	True	False	
PX656922.1	Morbillivirus canis isolate CDV_UY218, partial genome	15588	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Uruguay	Uruguay	22-Jul-2011	2011-07-22	2011.5534246575342	day		CDV_UY218	34.50 S 56.03 W	False		True	1824	annotation	True	True	False	
PX656921.1	Morbillivirus canis isolate CDV_35_PE, partial genome	15577	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Peru	Peru	26-Nov-2021	2021-11-26	2021.9013698630138	day		CDV_35_PE	12.05 S 77.04 W	False		True	1824	annotation	True	True	False	
PX656920.1	Morbillivirus canis isolate CDV_10_PE, partial genome	15580	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Peru	Peru	26-Oct-2021	2021-10-26	2021.8164383561643	day		CDV_10_PE	12.05 S 77.04 W	False		True	1824	annotation	True	True	False	
PX656919.1	Morbillivirus canis isolate CDV_5_PE, partial genome	15555	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Peru	Peru	21-Oct-2021	2021-10-21	2021.8027397260273	day		CDV_5_PE	12.05 S 77.04 W	False		True	1824	annotation	True	True	False	
PX656918.1	Morbillivirus canis isolate CDV_106_MX, partial genome	15659	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Mexico	Mexico	10-Nov-2019	2019-11-10	2019.8575342465754	day		CDV_106_MX	19.43 N 99.13 W	False		True	1824	annotation	True	True	False	
PX656917.1	Morbillivirus canis isolate CDV_MX100, partial genome	15591	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Mexico	Mexico	26-Sep-2019	2019-09-26	2019.7342465753425	day		CDV_MX100	20.723 N 103.384 W	False		True	1824	annotation	True	True	False	
PX656916.1	Morbillivirus canis isolate CDV_MX44, partial genome	15635	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Mexico	Mexico	26-Oct-2018	2018-10-26	2018.8164383561643	day		CDV_MX44	20.723 N 103.384 W	False		True	1824	annotation	True	True	False	
PX656915.1	Morbillivirus canis isolate CDV_EC5, partial genome	15605	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Ecuador	Ecuador	12-Apr-2012	2012-04-12	2012.27868852459	day		CDV_EC5	1.592 S 79.003 W	False		True	1824	annotation	True	True	False	
PX656914.1	Morbillivirus canis isolate CDV_EC4, partial genome	15580	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Ecuador	Ecuador	28-Mar-2012	2012-03-28	2012.2377049180327	day		CDV_EC4	0.23 S 78.52 W	False		True	1824	annotation	True	True	False	
PX656913.1	Morbillivirus canis isolate CDV_EC3, partial genome	15581	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Ecuador	Ecuador	23-Mar-2012	2012-03-23	2012.224043715847	day		CDV_EC3	1.592 S 79.003 W	False		True	1824	annotation	True	True	False	
PX656912.1	Morbillivirus canis isolate CDV_BL76, partial genome	15666	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Bolivia	Bolivia	14-Sep-2023	2023-09-14	2023.7013698630137	day		CDV_BL76	17.773 S 63.158 W	False		True	1824	annotation	True	True	False	
PX656911.1	Morbillivirus canis isolate CDV_BL72, partial genome	15668	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Bolivia	Bolivia	13-Sep-2023	2023-09-13	2023.6986301369864	day		CDV_BL72	17.513 S 63.166 W	False		True	1824	annotation	True	True	False	
PX656910.1	Morbillivirus canis isolate CDV_BL70, partial genome	15662	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	Bolivia	Bolivia	09-Sep-2023	2023-09-09	2023.6876712328767	day		CDV_BL70	17.513 S 63.166 W	False		True	1824	annotation	True	True	False	
PX789706.1	Canine distemper virus isolate 23040_Raccoon_2023, partial genome	8079	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2023-01-11	2023-01-11	2023.027397260274	day		23040_Raccoon_2023		False		True	1824	annotation	True	False	False	
PX789705.1	Canine distemper virus isolate 22990_GrayFox_2022, partial genome	15284	Urocyon cinereoargenteus	Urocyon cinereoargenteus	wild_canid	False	USA: Michigan	USA	2022-11-14	2022-11-14	2022.868493150685	day		22990_GrayFox_2022		False		True	1824	annotation	True	True	False	
PX789704.1	Canine distemper virus isolate 221036_GrayFox_2022, partial genome	15039	Urocyon cinereoargenteus	Urocyon cinereoargenteus	wild_canid	False	USA: Michigan	USA	2022-11-22	2022-11-22	2022.890410958904	day		221036_GrayFox_2022		False		True	1824	annotation	True	True	False	
PX789703.1	Canine distemper virus isolate 23313_Raccoon_2023 hemagglutinin (H) gene, partial cds	1102	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2023-05-24	2023-05-24	2023.3917808219178	day		23313_Raccoon_2023		False		True	1102	annotation	False	False	False	
PX789701.1	Canine distemper virus isolate 221044_Raccoon_2022 hemagglutinin (H) gene, partial cds	1102	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2022-12-01	2022-12-01	2022.9150684931508	day		221044_Raccoon_2022		False		True	1102	annotation	False	False	False	
PX789700.1	Canine distemper virus isolate 23045_Raccoon_2022 hemagglutinin (H) gene, partial cds	760	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2022-12-05	2022-12-05	2022.9260273972602	day		23045_Raccoon_2022		False		True	760	annotation	False	False	False	
PX789699.1	Canine distemper virus isolate 221042_Raccoon_2022 hemagglutinin (H) gene, partial cds	1099	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2022-12-05	2022-12-05	2022.9260273972602	day		221042_Raccoon_2022		False		True	1099	annotation	False	False	False	
PX789698.1	Canine distemper virus isolate 22938_Raccoon_2022 hemagglutinin (H) gene, partial cds	1102	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2022-10-22	2022-10-22	2022.805479452055	day		22938_Raccoon_2022		False		True	1102	annotation	False	False	False	
PX789697.1	Canine distemper virus isolate 23149_Raccoon_2023 hemagglutinin (H) gene, partial cds	1097	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2023-03-01	2023-03-01	2023.1616438356164	day		23149_Raccoon_2023		False		True	1097	annotation	False	False	False	
PX789696.1	Canine distemper virus isolate 221045_Raccoon_2022 hemagglutinin (H) gene, partial cds	1116	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2022-12-07	2022-12-07	2022.9315068493152	day		221045_Raccoon_2022		False		True	1116	annotation	False	False	False	
PX789695.1	Canine distemper virus isolate 22975_Raccoon_2022 hemagglutinin (H) gene, partial cds	1110	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2022-10-27	2022-10-27	2022.8191780821917	day		22975_Raccoon_2022		False		True	1110	annotation	False	False	False	
PX789694.1	Canine distemper virus isolate 22951_Raccoon_2022 hemagglutinin (H) gene, partial cds	1097	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2022-10-25	2022-10-25	2022.813698630137	day		22951_Raccoon_2022		False		True	1097	annotation	False	False	False	
PX789693.1	Canine distemper virus isolate 23170_Raccoon_2023 hemagglutinin (H) gene, partial cds	1100	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2023-03-16	2023-03-16	2023.2027397260274	day		23170_Raccoon_2023		False		True	1100	annotation	False	False	False	
PX789692.1	Canine distemper virus isolate 23044_Raccoon_2023 hemagglutinin (H) gene, partial cds	1121	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2023-01-12	2023-01-12	2023.0301369863014	day		23044_Raccoon_2023		False		True	1121	annotation	False	False	False	
PX789689.1	Canine distemper virus isolate 23047_GrayFox_2023 hemagglutinin (H) gene, partial cds	1102	Urocyon cinereoargenteus	Urocyon cinereoargenteus	wild_canid	False	USA: Michigan	USA	2023-01-12	2023-01-12	2023.0301369863014	day		23047_GrayFox_2023		False		True	1102	annotation	False	False	False	
PX789688.1	Canine distemper virus isolate 22978_GrayFox_2022 hemagglutinin (H) gene, partial cds	1075	Urocyon cinereoargenteus	Urocyon cinereoargenteus	wild_canid	False	USA: Michigan	USA	2022-10-21	2022-10-21	2022.8027397260273	day		22978_GrayFox_2022		False		True	1075	annotation	False	False	False	
PX789687.1	Canine distemper virus isolate 23219_RedFox_2023 hemagglutinin (H) gene, partial cds	1100	Vulpes vulpes	Vulpes sp.	wild_canid	False	USA: Michigan	USA	2023-04-23	2023-04-23	2023.3068493150686	day		23219_RedFox_2023		False		True	1100	annotation	False	False	False	
PX789686.1	Canine distemper virus isolate 22953_Coyote_2022 hemagglutinin (H) gene, partial cds	1097	Canis latrans	Canis latrans	wild_canid	False	USA: Michigan	USA	2022-10-18	2022-10-18	2022.7945205479452	day		22953_Coyote_2022		False		True	1097	annotation	False	False	False	
PX789685.1	Canine distemper virus isolate MI_Dog_2024 hemagglutinin (H) gene, complete cds	2006	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	USA: Michigan	USA	2024-02	2024-02	2024.122950819672	month		MI_Dog_2024		False		True	1824	annotation	False	False	False	
PX789684.1	Canine distemper virus isolate MI_Dog5_2023 hemagglutinin (H) gene, partial cds	1066	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	USA: Michigan	USA	2023-12	2023-12	2023.9561643835616	month		MI_Dog5_2023		False		True	1066	annotation	False	False	False	
PX789683.1	Canine distemper virus isolate MI_Raccoon_2023 hemagglutinin (H) gene, partial cds	1045	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2023-10	2023-10	2023.7890410958903	month		MI_Raccoon_2023		False		True	1045	annotation	False	False	False	
PX789682.1	Canine distemper virus isolate MI_Dog3_2023 hemagglutinin (H) gene, partial cds	1033	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	USA: Michigan	USA	2023-05	2023-05	2023.3698630136987	month		MI_Dog3_2023		False		True	1033	annotation	False	False	False	
PX789681.1	Canine distemper virus isolate MI_Dog2_2023 hemagglutinin (H) gene, complete cds	2007	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	USA: Michigan	USA	2023-04	2023-04	2023.2876712328766	month		MI_Dog2_2023		False		True	1824	annotation	False	False	False	
PX789680.1	Canine distemper virus isolate MI_Dog1_2023 hemagglutinin (H) gene, partial cds	1044	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	USA: Michigan	USA	2023-02	2023-02	2023.123287671233	month		MI_Dog1_2023		False		True	1044	annotation	False	False	False	
PX789679.1	Canine distemper virus isolate MI_Dog2_2021 hemagglutinin (H) gene, partial cds	1010	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	USA: Michigan	USA	2021-04	2021-04	2021.2876712328766	month		MI_Dog2_2021		False		True	1010	annotation	False	False	False	
PX789678.1	Canine distemper virus isolate MI_Dog1_2021 hemagglutinin (H) gene, complete cds	1940	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	USA: Michigan	USA	2021-01	2021-01	2021.041095890411	month		MI_Dog1_2021		False		True	1824	annotation	False	False	False	
PX789676.1	Canine distemper virus isolate 19279_Raccoon_2019 hemagglutinin (H) gene, complete cds	2002	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2019-04-25	2019-04-25	2019.3123287671233	day		19279_Raccoon_2019		False		True	1824	annotation	False	False	False	
PX789675.1	Canine distemper virus isolate 19265_GrayFox_2019 hemagglutinin (H) gene, complete cds	1963	Urocyon cinereoargenteus	Urocyon cinereoargenteus	wild_canid	False	USA: Michigan	USA	2019-04-22	2019-04-22	2019.304109589041	day		19265_GrayFox_2019		False		True	1824	annotation	False	False	False	
PX789674.1	Canine distemper virus isolate MI_Dog4_2023 hemagglutinin (H) gene, partial cds	1613	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	USA: Michigan	USA	2023-08	2023-08	2023.6219178082192	month		MI_Dog4_2023		False		True	1530	annotation	False	False	False	
PX789673.1	Canine distemper virus isolate 23222_Raccoon_2023 hemagglutinin (H) gene, partial cds	1102	Procyon lotor	Procyon lotor	procyonid	False	USA: Michigan	USA	2023-04-05	2023-04-05	2023.2575342465752	day		23222_Raccoon_2023		False		True	1102	annotation	False	False	False	
PX445144.1	Morbillivirus canis isolate crab_eating_fox_Argentina_2018, complete genome	15658	Cerdocyon thous	Cerdocyon thous	wild_canid	False	Argentina	Argentina	Apr-2018	2018-04	2018.2876712328766	month		crab_eating_fox_Argentina_2018	31.851940 S 58.320000 W	False		True	1824	annotation	True	True	True	
PX954424.1	Morbillivirus canis isolate 931_2024 fusion protein (F) gene, partial cds; hemagglutinin protein (H) gene, complete cds; and large polymerase (L) gene, partial cds	4483	Vulpes vulpes	Vulpes sp.	wild_canid	False	Hungary	Hungary	29-May-2024	2024-05-29	2024.4071038251366	day		931_2024		False		True	1824	annotation	True	False	False	
PZ380576.1	Canine distemper virus isolate CDVHN6 hemagglutinin (H) gene, complete cds	1824	dog	Canis lupus familiaris	domestic_dog	False	Viet Nam: Ha Noi	Viet Nam	2025	2025	2025.5	year		CDVHN6		False		True	1824	annotation	False	False	False	
PZ380575.1	Canine distemper virus isolate CDVHN3 hemagglutinin (H) gene, complete cds	1824	dog	Canis lupus familiaris	domestic_dog	False	Viet Nam: Ha Noi	Viet Nam	2025	2025	2025.5	year		CDVHN3		False		True	1824	annotation	False	False	False	
PZ170266.1	Canine distemper virus isolate CDV/Dog/CHN/2025/JK-01 hemagglutinin protein (H) gene, complete cds	1824	dog	Canis lupus familiaris	domestic_dog	False	China	China	Sep-2025	2025-09	2025.7068493150684	month		CDV/Dog/CHN/2025/JK-01		False		True	1824	annotation	False	False	False	
PZ168248.1	Canine distemper virus isolate CDV-HZ2024, complete genome	15691	canine	Canis lupus familiaris	domestic_dog	False	China: Hangzhou	China	2024	2024	2024.5	year		CDV-HZ2024		False		True	1824	annotation	True	True	True	
PZ055871.1	UNVERIFIED: Morbillivirus canis isolate Arctocephalus/GoreBay/2020, partial genome	14144	Arctocephalus forsteri (Fur seal)	Phoca sp.	pinniped	False	New Zealand: Gore Bay	New Zealand	2020	2020	2020.5	year		Arctocephalus/GoreBay/2020		False		True	1430	annotation	True	True	False	
PZ043807.1	Morbillivirus canis isolate Ca_CDV_6 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Beijing	China	2020	2020	2020.5	year		Ca_CDV_6		False		True	1824	annotation	False	False	False	
PZ043806.1	Morbillivirus canis isolate Ca_CDV_5 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Beijing	China	2020	2020	2020.5	year		Ca_CDV_5		False		True	1824	annotation	False	False	False	
PZ043805.1	Morbillivirus canis isolate Ca_CDV_4 nucleocapsid protein (N), phosphoprotein (P), C protein (C), matrix protein (M), fusion protein (F), hemagglutinin (H), and large polymerase protein (L) genes, complete cds	15664	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Beijing	China	2020	2020	2020.5	year		Ca_CDV_4		False		True	1824	annotation	True	True	False	
PZ043804.1	Morbillivirus canis isolate Ca_CDV_3 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Beijing	China	2020	2020	2020.5	year		Ca_CDV_3		False		True	1824	annotation	False	False	False	
PZ043803.1	Morbillivirus canis isolate Ca_CDV_2 nucleocapsid protein (N), phosphoprotein (P), C protein (C), matrix protein (M), fusion protein (F), hemagglutinin (H), and large polymerase protein (L) genes, complete cds	15682	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Beijing	China	2020	2020	2020.5	year		Ca_CDV_2		False		True	1824	annotation	True	True	False	
PZ043802.1	Morbillivirus canis isolate Ca_CDV_1 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Beijing	China	2020	2020	2020.5	year		Ca_CDV_1		False		True	1824	annotation	False	False	False	
PX904029.1	Morbillivirus canis isolate CDV/TUR/KNY-SLCK-93/2022 hemagglutinin (H) gene, partial cds	1671	domestic dog	Canis lupus familiaris	domestic_dog	False	Turkey	Turkey	2022	2022	2022.5	year		CDV/TUR/KNY-SLCK-93/2022		False		True	1671	annotation	False	False	False	
PX904028.1	Morbillivirus canis isolate CDV/TUR/KNY-SLCK-69/2022 hemagglutinin (H) gene, partial cds	1671	domestic dog	Canis lupus familiaris	domestic_dog	False	Turkey	Turkey	2022	2022	2022.5	year		CDV/TUR/KNY-SLCK-69/2022		False		True	1671	annotation	False	False	False	
PX991739.1	Morbillivirus canis isolate IVSAH-18499 hemagglutinin (H) gene, partial cds	738	canine	Canis lupus familiaris	domestic_dog	False	India: Odisha, Bhubaneswar, Jharpada	India	Sep-2025	2025-09	2025.7068493150684	month		IVSAH-18499		False		True	738	annotation	False	False	False	
OR880602.1	Morbillivirus canis isolate 297, partial genome	15349	Domestic dog	Canis lupus familiaris	domestic_dog	False	Bangladesh: Chattogram	Bangladesh	20-Jun-2023	2023-06-20	2023.4657534246576	day		297		False		True	1824	annotation	True	True	False	
OR880601.1	Morbillivirus canis isolate 129, partial genome	15265	Domestic dog	Canis lupus familiaris	domestic_dog	False	Bangladesh: Rajshahi	Bangladesh	28-Feb-2023	2023-02-28	2023.158904109589	day		129		False		True	1824	annotation	True	True	False	
OR880600.1	Morbillivirus canis isolate 120, partial genome	15349	Domestic dog	Canis lupus familiaris	domestic_dog	False	Bangladesh: Rajshahi	Bangladesh	28-Feb-2023	2023-02-28	2023.158904109589	day		120		False		True	1824	annotation	True	True	False	
OR880599.1	Morbillivirus canis isolate 114, partial genome	15349	Domestic dog	Canis lupus familiaris	domestic_dog	False	Bangladesh: Rajshahi	Bangladesh	28-Feb-2023	2023-02-28	2023.158904109589	day		114		False		True	1824	annotation	True	True	False	
OR880598.1	Morbillivirus canis isolate 107, partial genome	15335	Domestic dog	Canis lupus familiaris	domestic_dog	False	Bangladesh: Rajshahi	Bangladesh	28-Feb-2023	2023-02-28	2023.158904109589	day		107		False		True	1824	annotation	True	True	False	
OP209189.1	Canine morbillivirus strain Hungary/2007/Mfo/4, partial genome	15248	Martes foina	Martes sp.	mustelid	False	Hungary	Hungary	2007	2007	2007.5	year	Hungary/2007/Mfo/4			False		True	1824	annotation	True	True	False	
OP209188.1	Canine morbillivirus strain Hungary/2020/Mfo/35, partial genome	15248	Martes foina	Martes sp.	mustelid	False	Hungary	Hungary	01-Dec-2020	2020-12-01	2020.9153005464482	day	Hungary/2020/Mfo/35			False		True	1824	annotation	True	True	False	
OP209187.1	Canine morbillivirus strain Hungary/2019/Mpu/27234, partial genome	15248	Mustela putorius	Mustela sp.	mustelid	False	Hungary	Hungary	26-Mar-2019	2019-03-26	2019.2301369863014	day	Hungary/2019/Mpu/27234			False		True	1824	annotation	True	True	False	
OP209186.1	Canine morbillivirus strain Hungary/2018/Mev/28037, partial genome	15237	Mustela eversmannii	Mustela sp.	mustelid	False	Hungary	Hungary	07-Dec-2018	2018-12-07	2018.9315068493152	day	Hungary/2018/Mev/28037			False		True	1824	annotation	True	True	False	
OP209185.1	Canine morbillivirus strain Hungary/2021/Mev/28001, partial genome	15248	Mustela eversmannii	Mustela sp.	mustelid	False	Hungary	Hungary	02-Mar-2021	2021-03-02	2021.164383561644	day	Hungary/2021/Mev/28001			False		True	1824	annotation	True	True	False	
PX734748.1	Morbillivirus canis isolate 403_09, partial genome	15276	Vulpes_vulpes	Vulpes sp.	wild_canid	False	Italy	Italy	2009	2009	2009.5	year		403_09		False		True	1824	annotation	True	True	False	
PX734745.1	Morbillivirus canis isolate 350_09, partial genome	15276	Vulpes_vulpes	Vulpes sp.	wild_canid	False	Italy	Italy	2009	2009	2009.5	year		350_09		False		True	1824	annotation	True	True	False	
PX734733.1	Morbillivirus canis isolate 145_10, partial genome	15276	Vulpes_vulpes	Vulpes sp.	wild_canid	False	Italy	Italy	2010	2010	2010.5	year		145_10		False		True	1824	annotation	True	True	False	
